userCode_x,company,name_x,gender,age,travelCode,from,to,flightType,price_x,time,distance,agency,date_x,userCode_y,name_y,place,days,price_y,total,date_y,dropoffLocation_car,pickupLocation_car,car_Type,Car_rentalAgency,Car_rentalDuration,Car_fuelPolicy,Car_bookingStatus,Car_totalDistance,car_rent_price
0,4You,Roy Braun,male,21,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,09/26/2019,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/26/2019,Lake Ambermouth,North Saraview,Luxury,Hertz,5,Prepaid,Pending,298,3360
0,4You,Roy Braun,male,21,2,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,10-10-2019,0,Hotel K,Salvador (BH),2,263.41,526.82,10/10/2019,South Rodneyfurt,New Katelynland,SUV,Budget,3,Partial,Cancelled,110,1383
0,4You,Roy Braun,male,21,7,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,11/14/2019,0,Hotel K,Salvador (BH),3,263.41,790.23,11/14/2019,Robertview,East Joyceborough,Sedan,Sixt,2,Partial,Confirmed,94,1154
0,4You,Roy Braun,male,21,11,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,12-12-2019,0,Hotel K,Salvador (BH),4,263.41,1053.64,12/12/2019,South Cindy,North Deborahberg,Sedan,Budget,2,Prepaid,Pending,184,2056
0,4You,Roy Braun,male,21,13,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,12/26/2019,0,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019,East Janetshire,Olsonport,Hatchback,Avis,5,Full-to-Full,Confirmed,67,1038
0,4You,Roy Braun,male,21,15,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,01-09-2020,0,Hotel BD,Natal (RN),2,242.88,485.76,01/09/2020,Brandyborough,North Jeffreyport,SUV,Enterprise,1,Prepaid,Cancelled,128,1450
0,4You,Roy Braun,male,21,22,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,02/27/2020,0,Hotel Z,Aracaju (SE),2,208.04,416.08,02/27/2020,Kirkton,West Eric,Luxury,Avis,2,Full-to-Full,Pending,469,4915
0,4You,Roy Braun,male,21,29,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,04/16/2020,0,Hotel AU,Recife (PE),4,312.83,1251.32,04/16/2020,North Mitchellfurt,Johnsonshire,Luxury,Budget,5,Prepaid,Confirmed,181,2205
0,4You,Roy Braun,male,21,32,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,05-07-2020,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/07/2020,North Brittneyfort,Douglasstad,Sedan,Avis,4,Partial,Cancelled,144,1754
0,4You,Roy Braun,male,21,33,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,05/14/2020,0,Hotel K,Salvador (BH),4,263.41,1053.64,05/14/2020,Lopezport,Jenkinsside,SUV,Budget,1,Partial,Pending,390,4086
0,4You,Roy Braun,male,21,34,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,05/21/2020,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/21/2020,North Juliefort,West Tabitha,Sedan,Enterprise,4,Prepaid,Confirmed,460,4917
0,4You,Roy Braun,male,21,38,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,06/18/2020,0,Hotel BD,Natal (RN),2,242.88,485.76,06/18/2020,Amyside,Patrickshire,SUV,Budget,3,Partial,Pending,70,972
0,4You,Roy Braun,male,21,39,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,06/25/2020,0,Hotel K,Salvador (BH),1,263.41,263.41,06/25/2020,New Darren,Jessicaton,Luxury,Enterprise,3,Full-to-Full,Cancelled,164,1904
